,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
6326,18750845,spacious and trendy with a pool and garden,3249425,lee,ward 54,-33.92199,18.38455,entire home/apt,1500.0,10.0,11,6,360
6327,18759390,gorgeous sea facing apartment in bantry bay,99468122,kyle,ward 54,-33.92676,18.37963,entire home/apt,2000.0,4.0,10,1,0
6328,18760669,seaside cottage,130537086,penelope,ward 61,-34.15771,18.4318,entire home/apt,604.0,2.0,86,1,287
6329,18761390,seaside village: cosy 1bed - close to beach,130541669,marcus & claudia,ward 23,-33.78845,18.45802,entire home/apt,688.0,7.0,6,1,267
6330,18762502,"sunset & sea views, walk to beach in 5 minutes!!",10913063,lee,ward 61,-34.13864,18.32468,entire home/apt,8400.0,5.0,0,16,358
6331,18763399,winelands hideaway - flat in durbanville,130554864,diederick,ward 21,-33.8524,18.64764,private room,756.0,1.0,6,1,361
6332,18767456,luxury private garden cottage,33036416,victoria,ward 58,-33.96538,18.48976,entire home/apt,514.0,3.0,40,2,0
6333,18771426,"comfortable, spacious, convenient home with pool",53419956,janina,ward 62,-34.02222,18.44231,entire home/apt,1800.0,4.0,9,18,0
6334,18777531,selfcatering one bedroom apartment with ocean view,129112930,alison,ward 83,-34.11636,18.82576,entire home/apt,950.0,3.0,3,1,352
6335,18785586,warm and relaxed zeekoevlei homely apartment!,113970985,keitumetse,ward 67,-34.05156,18.51073,private room,600.0,2.0,0,1,180
6336,18787116,"lakeside lodge - room 12, queen room",130555929,marina,ward 64,-34.08921,18.4572,private room,630.0,1.0,9,4,350
6337,18788497,upper long street apartment. heart of cape town!,46648275,jay,ward 115,-33.92636,18.41541,entire home/apt,352.0,2.0,95,2,0
6338,18789223,private room in modern home,103849118,vanessa,ward 66,-34.01794,18.50865,private room,400.0,1.0,4,2,23
6339,18794412,6 sleeper self catering house,130821991,bevan,ward 113,-33.83053,18.51236,entire home/apt,3000.0,1.0,0,1,365
6340,18796252,on the close,130843673,mervyn and ashleen,ward 1,-33.86653,18.5638,private room,500.0,1.0,0,1,90
6341,18799154,solly tucker one,110833949,yvonne,ward 61,-34.1682,18.43125,entire home/apt,1450.0,5.0,1,8,277
6342,18800748,"loft apartment,  2 bedrooms (1 en-suite)",10461683,rhonette,ward 115,-33.90823,18.40882,entire home/apt,493.0,1.0,95,5,359
6343,18814661,"lakeside lodge, muizenberg - room 13 - twin beds",130555929,marina,ward 71,-34.09141,18.45638,private room,450.0,1.0,26,4,329
6344,18814811,modern classic apartment in gardens,95382342,albe,ward 115,-33.93359,18.41395,entire home/apt,850.0,6.0,1,1,54
6345,18832319,15 on millwood,7610201,stefan,ward 85,-34.11501,18.83516,private room,550.0,3.0,1,1,365
6346,18837336,beach house with great views.,48648123,nikolas,ward 61,-34.1997,18.37794,entire home/apt,750.0,2.0,114,1,0
6347,18838854,sunny studio loft apartment in upper kenilworth,6520474,liz,ward 59,-33.99213,18.46631,entire home/apt,550.0,4.0,6,1,329
6348,18838939,arum lily luxury 1 bedroom,2346675,ayesha,ward 57,-33.93623,18.44795,entire home/apt,1029.0,3.0,0,8,271
6349,18840838,"city stay 2 bed 2 bath , free wifi, parking, gym",72360199,xena,ward 55,-33.8895,18.51587,entire home/apt,1357.0,4.0,2,6,364
